Location,Latitude,Longitude
conservatory of flowers (golden gate park),37.7724451,-122.4601817
san francisco city hall,37.7792597,-122.4192646
octavia & hayes streets (hayes valley),37.7767142,-122.4243971
sutro baths,37.7804369,-122.5136935
telegraph hill blvd (telegraph hill),37.8027862,-122.4060487
clarion alley between valencia and mission,37.7629366,-122.4215257
1243 19th street,37.7611679,-122.3952523
f train,48.73036889999999,11.8301248
washington street & waverly place (chinatown),37.7950851,-122.4070174
"burger island (901 3rd street, china basin)",0.0,0.0
ccsf alemany campus,37.7256557,-122.4510586
"fiesta laundromat (898 s. van ness ave., mission)",37.7588719,-122.4172704
2107 union street,37.7971178,-122.4340934
california & powell,37.7920527,-122.409182
343 union street,37.8008025,-122.4050774
market street,40.882248,-85.49413899999999
42 walter street,37.7684309,-122.4326629
filbert st. from jones to mason,0.0,0.0
883 42nd ave.,37.7720868,-122.5026756
"the 500 club (500 guerrero street, mission district)",37.7630418,-122.4241468
pier 50,37.7739371,-122.3848022
powell st. from california st. to sutter st.,37.7844688,-122.4079864
"red's java house (pier 30-32, the embarcadero)",37.7872148,-122.3874311
923 vermont st.,37.7579997,-122.4037415
vallejo garage roof (vallejo at powell),38.164191,-122.179852
1521 masonic avenue at piedmont street,37.7659828,-122.4441981
trolley car from market and 11th,37.7850854,-122.407624
900 block of grant avenue (chinatown),37.7952716,-122.4063847
10th street between market & mission,37.7756242,-122.4158817
90 gold street,40.7098203,-74.0038754
pier 33 (embarcadero),37.8078549,-122.4046075
market street (from 6th- 4th streets),0.0,0.0
4015 21st st,34.4186608,-103.1580168
montgomery street at post street,37.7891114,-122.4020388
"sf general hospital center (1001 potrero avenue, potrero hill)",37.755535,-122.4049855
aquatic park (jefferson street),37.8069915,-122.4219817
"conservatory of flowers, golden gate park",37.7724451,-122.4601817
"west chrissy field (presidio, golden gate national recreation area)",37.8040257,-122.4650165
32 napier lane,37.8025807,-122.4038407
2700 vallejo street (pacific heights),37.7945977,-122.4420071
the saloon (1232 grant avenue),37.7985867,-122.4070229
520-522a green street at grant street,37.79971219999999,-122.4074155
washington square park (north beach),37.8008473,-122.4099791
15th st. between vermont and kansas,0.0,0.0
1138 alabama st,37.75367,-122.4112992
13 lucky street,37.75224250000001,-122.4134189
2340 francisco street,37.80107090000001,-122.4438717
mission between 19th and 25th st.,0.0,0.0
bernal heights neighborhood,37.7411622,-122.4178378
la bodega (1332 grant avenue at vallejo),0.0,0.0
columbus and green,32.2270531,-107.7513099
higher grounds coffee house,34.1310321,-83.765959
82 & 67 rico way (marina district),0.0,0.0
2632 larkin street at lombard,37.80178069999999,-122.4212677
"fort point (presidio, golden gate national recreation area)",37.8106185,-122.4770527
mason street @ vallejo,37.7981761,-122.412118
20 hill street,41.4803454,-75.56949039999999
california st. between drumm st. and kearny st.,37.7926103,-122.404115
embarcadero around rincon park,37.7915675,-122.3899424
broadway & taylor,42.4238413,-71.042628
520 castro st.,37.7604765,-122.4351507
mason street at jackson,42.2430777,-84.40947709999999
filbert between grant and kearny,0.0,0.0
887 de haro street,37.7586395,-122.4007742
clementina & sumner streets,37.7759045,-122.4100241
sansome street (the embarcadero),37.80527410000001,-122.403596
terry a. francois blvd.,37.7701426,-122.3864105
"south park (between 2nd and 3rd streets, brannan and bryant streets)",37.778898,-122.396246
19th and kansas st.,37.76090970000001,-122.4031849
alcoa building (1 maritime plaza),37.7956599,-122.3992066
mission street @ 22nd street,37.7554447,-122.4187761
texas & 19th streets (potrero hill),37.7613708,-122.3954666
mission arts center,37.7581831,-122.4132469
pier 24,37.789222,-122.38777
766 sutter street,37.7889245,-122.4131252
water work in sf bay,37.7792913,-122.4135879
555 market st.,37.78999900000001,-122.3999087
montgomery & vallejo streets (telegraph hill),37.799174,-122.4040675
pine st. & grant,37.7915062,-122.4057618
duboce park,37.76955100000001,-122.433214
"balboa pool lot, san jose avenue & havelock st",37.7261581,-122.4433243
chestnut & divisadero streets (marina district),37.7999844,-122.44287
21st st & sanchez,37.756369,-122.4301273
potrero &san bruno,37.7608017,-122.4051117
hyatt fisherman's wharf (555 northpoint street),37.8059095,-122.4161187
mark hopkins hotel (999 california street),37.79150509999999,-122.4104582
polk and northpoint st.,37.8052968,-122.4236765
"tiburon hiking trail, tiburon, ca",37.8884463,-122.4494381
pier 7 (the embarcadero),37.7986725,-122.3968247
polk & larkin streets,37.7822605,-122.4130207
"sheraton palace hotel (2 montgomery street, financial district)",37.7881439,-122.4017237
ross alley (chinatown),37.7955378,-122.407378
folsom,38.6779591,-121.1760583
kearny street between broadway and pacific avenue,37.79717,-122.405222
"california hall (625 polk street, van ness/civic center)",37.7814677,-122.4206279
pier 14,21.3172917,-157.8897484
intersection of york & peralta (bernal heights),37.747431,-122.4072802
van ness and market street muni exit,37.7748712,-122.4195992
at&t stadium,32.7472844,-97.09449389999999
lombard st between hyde and larkin st,0.0,0.0
california and jones st.,37.791424,-122.4141308
mario's bohemian cigar store (washington square),37.800256,-122.409829
larkin & francisco streets (russian hill),37.80356080000001,-122.4218062
roof of cable car (california at front street),37.7947043,-122.4117199
s.s. jeremiah o'brien,37.8110638,-122.4181442
claire lilienthal elementary school,37.7871537,-122.4579983
fior d' italia (601 union street at stockton),37.804259,-122.413523
one embarcadero center (financial district),37.7946507,-122.3998262
chinatown,40.7157509,-73.9970307
"aladdin terrace (off of taylor street, between filbert and union)",0.0,0.0
pier 39,37.80867300000001,-122.409821
firestation #38 (california & laguna),33.5255892,-117.7181339
75 california street,37.7935632,-122.3973351
howard st. from embarcadero to 11 st.,37.7915556,-122.3916812
1 urbano,37.72443519999999,-122.4635252
pine st. between market and montgomery,45.52144390000001,-122.6723382
alco plaza,31.0961077,-87.0859684
pier 45,40.7331926,-74.0116944
pier 43,21.3193804,-157.8905036
679 madrid st,37.7187495,-122.4346684
hills brothers plaza (the embarcadero at harrison),37.7899545,-122.389913
"the cannery (281 leavenworth street, fisherman's wharf)",37.8072893,-122.4194343
moscone convention center,37.7831029,-122.4040588
"eber electronics (2355 market street, castro)",0.0,0.0
raw hide ii (280 seventh street),0.0,0.0
850 bryant- 6th floor county jail,37.77523619999999,-122.4048949
pier 41,37.809167,-122.411389
lombard & laguna streets (marina district),37.800526,-122.4311473
sf chronicle building (901 mission st),37.7821582,-122.4065832
unitarian church (1187 franklin st.),37.7853466,-122.4231664
port of san francisco,37.7968374,-122.3950767
pier 45 - jeremiah o'brien liberty ship,37.8110638,-122.4181442
leavenworth at mcallister st,37.7809321,-122.4136762
holiday inn select downtown hotel (750 kearney street),37.7951599,-122.4042016
"dolores park, san francisco",37.7596168,-122.4269038
420 jones st. at ellis st.,37.784875,-122.4128063
"marriott marquis, 780 mission street",37.7852279,-122.404389
1 market st. landmark building,37.79396,-122.39496
pierce street between pacific & green streets,47.2535967,-122.4390057
5th ave @ fulton street in golden gate park,37.7737373,-122.4627045
772 commercial street at kearney,37.7884721,-122.3987098
embarcadero freeway,37.7881524,-122.2512872
"clayton post office, 554 clayton st.",37.7700395,-122.4484058
"tonga room, fairmont hotel, 950 mason street",37.7921357,-122.4099773
castro st. from market to 18th st.,37.7605255,-122.4383836
farley's café (1315 18th street near missouri),37.7624718,-122.3959956
304 lily st.,37.7742127,-122.4261101
greenwich st at battery st,37.8032569,-122.4020093
253 4th ave.,40.676066,-73.98350099999999
"sparky's diner, 242 church street",37.7666948,-122.4290866
clay st. at taylor,37.7934487,-122.4128493
columbus & lombard streets (north beach),37.8027549,-122.413728
1055 montgomery st.,37.798888,-122.404283
2633 vallejo street,37.7945299,-122.4406982
2090 jackson street,37.7933715,-122.4294523
"japanese tea garden (hagiwara tea garden drive, golden gate park)",37.7700914,-122.470436
"state garage, 818 leavenworth",37.788783,-122.4151264
"punjab café, 838 24th st.",37.7530688,-122.4089713
160 church street,43.0848371,-73.7928767
montgomery street at union street,37.8010499,-122.4043889
embarcadero & washington,37.7966899,-122.3956093
307 filbert street,37.8020913,-122.4047753
players arcade at pier 39,37.811104,-122.410476
john muir drive (lake merced),37.7156029,-122.4954571
1601 lane st.,37.7318281,-122.3896976
550 el camino del mar (seacliff),37.7875542,-122.4899412
cybelle's pizza (1000 bush street),37.762434,-122.466411
mission & fremont st,37.7904547,-122.3967264
café cantata (2040 union street),37.76968919999999,-122.450652
europa café (4318 california st. and 5th ave.),37.7852135,-122.4638934
22nd and carolina streets (potrero hill),37.75724700000001,-122.400008
grant street at pacific avenue,37.79690970000001,-122.4068577
